Title,F no.,Period,Area,lead white,zinc white,calcium sulphate,calcium carbonate,barium sulphate,silicates,yellow ochre,cadmium yellow or orange,chrome yellow or orange,vermilion,orange/red ochre,red lead,organic red,eosin,emerald green,viridian,cobalt green,cobalt blue,ultramarine blue,Prussian blue,bone black,carbon black
The bedroom,F483 ,mid-late September 1889,Saint-Remy,d,d,,,,,,,"d, r",d,x,"d, r",x (Sn),x,"d, r","d, x?",,d,r,x3,,
The sheepshearer (after Millet),F634,c. 20 September 1889,Saint-Remy,"x, s","x, s",,,,,"x, s",,"x, s (y)","x, s",,,"s (Al/Ca), h (cochineal)",,"x, s",,,"x, s","x?, s",,,
A pair of leather clogs,F607,September-October 1889,Saint-Remy,s,,,,,,,,,,,,s (Al/Ca),,s,,,,,,,s?
The woodcutter (after Millet),F670,late September 1889,Saint-Remy,"x, s","x, s",s,,,,s,,x,s,s,,"x (Sn), s (Al and Sn), h (cochineal and redwood) ","x, s (Al)","x, s","x, s",,"x, s",s,,,s
Night (after Millet),F647,late October-early November 1889,Saint-Remy,s,s,s ,s,,s,s,,s (y and o),s,s,s,"s (Al/Ca/(Sn)), h (cochineal)","s (Al), h",s,s,,s,s,s?,s,s
Diggers (after Millet),F648,late October-December 1889,Saint-Remy,,x,,,,,,,x,x,,,x (Sn),x,x,x,,x,,x?,,
Olive grove with two olive pickers,F587,December 1889,Saint-Remy,s,,,,,,,,,,s,s,s?,,s,,,,,,,s
Noon: rest (after Millet) ,F686 ,first half of January 1890,Saint-Remy,x?,x,,,,,,,x,x,x(?),x,"x? (Al), x?",x,x,x,,x,x?,x(?),,
Snow-covered field with a harrow (after Millet),F632,second half of January 1890,Saint-Remy,"x, s",,,s,,,"x, s",,x,,,,"s (Al/Ca), h (cochineal)",,,"x?, s",,"x, s",,,,s
Cypresses and two women,F621,February 1890,Saint-Remy,s,,,s,,,,,s (y and o?),s,,s,s (Sn/Al/Ca?),s (Al),s,s,,,s,s3,s,
Garden with butterflies,F402,Spring 1890,Saint-Remy,"x, s","x, s",s,s,,s,s,,s (y),s,s,,"s? (Al/Ca), s (Sn/(Al); starch?)",s (Al),s,s,s,s,s,s,s,s7
The Good Samaritan (after Delacroix),F633,early May 1890,Saint-Remy,x?,x,,,,,,,x?,x,x?,,x (Sn),,x,x,,x,,x?,,
The raising of Lazarus (after Rembrandt),F677,early May 1890,Saint-Remy,"x, s","x, s",s,s?,,s?,s,,"x, s (y)",,s,"x?, s","x (Sn), s (Al and Sn), h (cochineal and redwood)","x, s (Al), h","x, s","x, s",,,"x?, s",,,s
Doctor Gachet?s garden,F755  ,late May 1890,Auvers-sur-Oise,,s,,,,,,,x,x(?),x(?),x?,s (Al and Sn) ,,x,x(?),,s,,x,,
Marguerite Gachet in the garden,F756  ,1 June 1890,Auvers-sur-Oise,s,s,,s,s,,,,x,x,x?,,,s,s,s,,x,s,x,,
Roses and anemones in a vase,F764  ,early June 1890,Auvers-sur-Oise,s,s,,s,s,,,,x,s,x?,s,s (Al),s (Al?),s,s,,x,s,x,,
Church at Auvers,F789 ,early June 1890,Auvers-sur-Oise,,s,s,,s,,,,x,,x(?),,s (Al and Sn),x,x,x,,x,x?,x,,x?
Acacias in flower,F821  ,early June 1890,Auvers-sur-Oise,,"s, p",,,s(?),,,,p,,,p(?),,,p,s,,p,,s,,
Thatched cottages,F792  ,first half of June 1890,Auvers-sur-Oise,x?,s,,,s,,,,x(?),,x?,,,x,x,x?,,s,,x,,
Daubigny's garden,F765,mid-June 1890,Auvers-sur-Oise,s,s,,,,,,,s (y),,,,,"s (Al), h",s,,,s,s,,,
Ears of wheat,F767,mid-June 1890,Auvers-sur-Oise,s,s?,,,s,s?,,,s (y),s,s,,,,s,s,,,s,,,s
Landscape at twilight,F770,late June 1890,Auvers-sur-Oise,,s,,,s,,,,s (y and o),s,,s,,,s,s,,s,s,,s,
Portrait of Doctor Gachet,F754  ,June 1890,Auvers-sur-Oise,s,s,,s,s,,,,x,s,x,s,,s (Al?),x,s,,s,s,x,,
Two children,F783 ,June 1890,Auvers-sur-Oise,s,s,,,s,,,,x,,x?,,s (Al and Sn),,,s,,s,x(?),x,,
View of Auvers with church,F800,June-July 1890,Auvers-sur-Oise,,,s,,,,,,,,,s,,"s (Al), h",s5,,,,,,,
Wheatfield under thunderclouds,F778,first half of July 1890,Auvers-sur-Oise,,s,s,,,,,,s (y and o),,s,s,,"s (Al), h",s5,s,,s,s,,,s7
Wheatfield with crows,F779,first half of July 1890,Auvers-sur-Oise,,s,s,s,s,s,s?,,s (y),,s,,"s (Sn; starch ø = 10-15 μm), h (cochineal) ",,s,,,s,,,,
Tree roots,F816,late July 1890,Auvers-sur-Oise,,s,s,,s,,s,,s (y),s,s,s,,s (Al?),s,s,,s,,s?,,s
palette,,June 1890,,x?,"s, d",s,s?,s,,,,"s, d","s, d",s,,"s (Al and Sn), x (Al)",,s,s,,s,,s,,
